movie_id,kw_id
10865,1523
10865,2249
10865,9986
10865,11223
258509,1523
258509,2249
258509,9986
258509,11223
2253,1523
2253,2249
2253,9986
2253,11223
10661,1523
10661,2249
10661,9986
10661,11223
257344,1523
257344,2249
257344,9986
257344,11223
644,1523
644,2249
644,9986
644,11223
10756,1523
10756,2249
10756,9986
10756,11223
686,1523
686,2249
686,9986
686,11223
9383,1523
9383,2249
9383,9986
9383,11223
179,1523
179,2249
179,9986
179,11223
76285,1523
76285,2249
76285,9986
76285,11223
1996,1523
1996,2249
1996,9986
1996,11223
291805,1523
291805,2249
291805,9986
291805,11223
10003,1523
10003,2249
10003,9986
10003,11223
1535,1523
1535,2249
1535,9986
1535,11223
2067,1523
2067,2249
2067,9986
2067,11223
46195,1523
46195,2249
46195,9986
46195,11223
2277,1523
2277,2249
2277,9986
2277,11223
10357,1523
10357,2249
10357,9986
10357,11223
4477,1523
4477,2249
4477,9986
4477,11223
8665,1523
8665,2249
8665,9986
8665,11223
9387,1523
9387,2249
9387,9986
9387,11223
921,1523
921,2249
921,9986
921,11223
49852,1523
49852,2249
49852,9986
49852,11223
4464,1523
4464,2249
4464,9986
4464,11223
664,1523
664,2249
664,9986
664,11223
8358,1523
8358,2249
8358,9986
8358,11223
9836,1523
9836,2249
9836,9986
9836,11223
2502,1523
2502,2249
2502,9986
2502,11223
9772,1523
9772,2249
9772,9986
9772,11223
161,1523
161,2249
161,9986
161,11223
52451,1523
52451,2249
52451,9986
52451,11223
76492,1523
76492,2249
76492,9986
76492,11223
4523,1523
4523,2249
4523,9986
4523,11223
59961,1523
59961,2249
59961,9986
59961,11223
10481,1523
10481,2249
10481,9986
10481,11223
59108,1523
59108,2249
59108,9986
59108,11223
1581,1523
1581,2249
1581,9986
1581,11223
9798,1523
9798,2249
9798,9986
9798,11223
22897,1523
22897,2249
22897,9986
22897,11223
298,1523
298,2249
298,9986
298,11223
7484,1523
7484,2249
7484,9986
7484,11223
157350,1523
157350,2249
157350,9986
157350,11223
853,1523
853,2249
853,9986
853,11223
10159,1523
10159,2249
10159,9986
10159,11223
9593,1523
9593,2249
9593,9986
9593,11223
1904,1523
1904,2249
1904,9986
1904,11223
9615,1523
9615,2249
9615,9986
9615,11223
51052,1523
51052,2249
51052,9986
51052,11223
297,1523
297,2249
297,9986
297,11223
9884,1523
9884,2249
9884,9986
9884,11223
16858,1523
16858,2249
16858,9986
16858,11223
62764,1523
62764,2249
62764,9986
62764,11223
22538,1523
22538,2249
22538,9986
22538,11223
9341,1523
9341,2249
9341,9986
9341,11223
12107,1523
12107,2249
12107,9986
12107,11223
9637,1523
9637,2249
9637,9986
9637,11223
49049,1523
49049,2249
49049,9986
49049,11223
9339,1523
9339,2249
9339,9986
9339,11223
16281,1523
16281,2249
16281,9986
16281,11223
39691,1523
39691,2249
39691,9986
39691,11223
8247,1523
8247,2249
8247,9986
8247,11223
11253,1523
11253,2249
11253,9986
11253,11223
1949,1523
1949,2249
1949,9986
1949,11223
8452,1523
8452,2249
8452,9986
8452,11223
310,1523
310,2249
310,9986
310,11223
27578,1523
27578,2249
27578,9986
27578,11223
954,1523
954,2249
954,9986
954,11223
70160,1523
70160,2249
70160,9986
70160,11223
45243,1523
45243,2249
45243,9986
45243,11223
364,1523
364,2249
364,9986
364,11223
7518,1523
7518,2249
7518,9986
7518,11223
11544,1523
11544,2249
11544,9986
