actor_id,actor
122292,Matthew Knott
1090466,Deni Gordon
1167087,David Bowers
1698601,Carol Pritikin
971329,Nina Arianda
538297,Robert Racki
6310,David Brisbin
1608862,Véronique Duval
15781,Hal Baylor
144079,Marta Gastini
130536,Justin Kline
60796,Jerry Grayson
16582,William Ghent
1260031,Alexis Krause
10411,Barry Nelson
1189637,Suze Lanier-Bramlett
43976,Rosalind Cash
1278608,Claire Machin
59295,Lee Thompson Young
1106629,Raymond Mamrak
77318,Choi Si-won
1735900,Antonio Mireles
43928,Meghan Ory
1427427,Kelly Gichohi
1204295,Stephen Powers
25988,Vitali Baganov
185773,H. Jon Benjamin
154207,Kiva Dawson
1735569,Kial Butler
1844160,Jonathan Kramer
61945,Andrei Serban
12928,Ross Malinger
2479,Rupert Vansittart
1463652,Madeleine Arthur
11493,Leslie Howard
1228965,Sydney Wade
33311,Matthew Chamberlain
91645,Sarah Bayes
1469629,Romo Gorrara
143548,Fernanda Dorogi
98104,Julian Barratt
54168,Anne Marivin
1230381,Sean Murray
985040,Yolandi Visser
163692,Michael Rivera
105657,Richard Christy
15553,Nomhlé Nkyonyeni
1886575,Sean Grennan
1643672,Jess Jacobs
154816,Michael Patrick McGill
24424,Ilaria Occhini
72795,Josef Abrhám
1721394,Harvey Diamond
51671,Susie Porter
1164,F. Murray Abraham
1781992,Christina Neferis
83261,Michael Pollan
1502468,Damon Driver
1530537,Benjamin Mathes
22302,Stuart Cornfeld
157938,Valerie Bickford
82646,Trevor Hayes
96056,Kenneth Thomson
1641420,Bruno Doyon
17587,Michele Valley
75346,Maureen McCormick
967704,Billy Lockwood
1857446,Stanley Kowalski
1430430,Espérance Pham Thai Lan
14691,Lionel Pape
924292,Rachel Loiselle
1040564,Franklin Parker
1362948,Jane Moffat
1356060,Sean Howe
165371,Shelby Leverington
1181557,Josh Warren
237404,Vernel Bagneris
60398,Christa Thorne
1394345,Sharon Coleman
1179337,Jared Gilmore
112167,"Roy Blount, Jr."
106505,Lawrence Ryle
1752106,Sotiri Georgas
1232066,Richard Walsh
1161587,Michael Genadry
1674960,Richard Orlando
170865,Phoebe Dorin
133670,Hal Linden
21259,Michael Dudikoff
27655,Peter Mair
1779544,Eli Ollinger
210711,Ian Hughes
1271708,Drew Sease
7015,Lou Vani
19613,Mike Marshall
1639440,Seth Michael May
13021,William Baldwin
1405926,Toru Nomaguchi
1530530,Jason Hall
1271116,Pam Rose
8211,Mena Suvari
1172006,Tian Liang
147499,Shaun Weiss
1513914,"Chad ""Gunner"" Lail"
80968,Dwain Murphy
1606903,Habib Chetoui
1744033,Jon M. Hudson
1782510,Rich Tanis
